;Rank;Rider;Team;Times;Gap;B;P;Stages;Ranking type;Points;Checkpoint;Year;Distance (km);Number of stages;ResultType;TotalSeconds;GapSeconds
457839;42;JONATHAN CASTROVIEJO NICOLAS;INEOS GRENADIERS;04h 23' 37'';+ 00h 00' 48'';;;1;Individual (Stage);;;2023;3404;21;time;15817;48
457840;43;JUAN PEDRO LOPEZ PEREZ;LIDL - TREK;04h 23' 41'';+ 00h 00' 52'';;;1;Individual (Stage);;;2023;3404;21;time;15821;52
457841;44;FELIX GROSSSCHARTNER;UAE TEAM EMIRATES;04h 24' 08'';+ 00h 01' 19'';;;1;Individual (Stage);;;2023;3404;21;time;15848;79
457842;45;GEORG ZIMMERMANN;INTERMARCHÉ - CIRCUS - WANTY;04h 24' 10'';+ 00h 01' 21'';;;1;Individual (Stage);;;2023;3404;21;time;15850;81
457843;46;NEILSON POWLESS;EF EDUCATION - EASYPOST;04h 24' 21'';+ 00h 01' 32'';;;1;Individual (Stage);;;2023;3404;21;time;15861;92
457844;47;ALBERTO BETTIOL;EF EDUCATION - EASYPOST;04h 24' 55'';+ 00h 02' 06'';;;1;Individual (Stage);;;2023;3404;21;time;15895;126
457845;48;DAVID DE LA CRUZ MELGAREJO;ASTANA QAZAQSTAN TEAM;04h 25' 04'';+ 00h 02' 15'';;;1;Individual (Stage);;;2023;3404;21;time;15904;135
457846;49;MATTEO JORGENSON;MOVISTAR TEAM;04h 25' 27'';+ 00h 02' 38'';;;1;Individual (Stage);;;2023;3404;21;time;15927;158
457847;5;MICHAEL WOODS;ISRAEL - PREMIER TECH;04h 23' 01'';+ 00h 00' 12'';;;1;Individual (Stage);;;2023;3404;21;time;15781;12
457848;50;MATHIEU BURGAUDEAU;TOTALENERGIES;04h 25' 27'';+ 00h 02' 38'';;;1;Individual (Stage);;;2023;3404;21;time;15927;158
457849;51;MATIS LOUVEL;TEAM ARKEA - SAMSIC;04h 25' 27'';+ 00h 02' 38'';;;1;Individual (Stage);;;2023;3404;21;time;15927;158
457850;52;ANTHONY TURGIS;TOTALENERGIES;04h 26' 02'';+ 00h 03' 13'';;;1;Individual (Stage);;;2023;3404;21;time;15962;193
457851;53;ION IZAGIRRE INSAUSTI;COFIDIS;04h 26' 02'';+ 00h 03' 13'';;;1;Individual (Stage);;;2023;3404;21;time;15962;193
457852;54;GORKA IZAGIRRE INSAUSTI;MOVISTAR TEAM;04h 26' 02'';+ 00h 03' 13'';;;1;Individual (Stage);;;2023;3404;21;time;15962;193
457853;55;TIESJ BENOOT;JUMBO-VISMA;04h 26' 02'';+ 00h 03' 13'';;;1;Individual (Stage);;;2023;3404;21;time;15962;193
457854;56;DANIEL FELIPE MARTINEZ POVEDA;INEOS GRENADIERS;04h 26' 02'';+ 00h 03' 13'';;;1;Individual (Stage);;;2023;3404;21;time;15962;193
457855;57;ANTHON CHARMIG;UNO-X PRO CYCLING TEAM;04h 26' 26'';+ 00h 03' 37'';;;1;Individual (Stage);;;2023;3404;21;time;15986;217
457856;58;MATEJ MOHORIC;BAHRAIN VICTORIOUS;04h 26' 26'';+ 00h 03' 37'';;;1;Individual (Stage);;;2023;3404;21;time;15986;217
457857;59;BOB JUNGELS;BORA - HANSGROHE;04h 26' 26'';+ 00h 03' 37'';;;1;Individual (Stage);;;2023;3404;21;time;15986;217
457858;6;VICTOR LAFAY;COFIDIS;04h 23' 01'';+ 00h 00' 12'';;;1;Individual (Stage);;;2023;3404;21;time;15781;12
457859;60;PATRICK KONRAD;BORA - HANSGROHE;04h 27' 48'';+ 00h 04' 59'';;;1;Individual (Stage);;;2023;3404;21;time;16068;299
457860;61;JHOAN ESTEBAN CHAVES RUBIO;EF EDUCATION - EASYPOST;04h 27' 48'';+ 00h 04' 59'';;;1;Individual (Stage);;;2023;3404;21;time;16068;299
457861;62;SIMON GESCHKE;COFIDIS;04h 27' 48'';+ 00h 04' 59'';;;1;Individual (Stage);;;2023;3404;21;time;16068;299
457862;63;NELSON OLIVEIRA;MOVISTAR TEAM;04h 27' 48'';+ 00h 04' 59'';;;1;Individual (Stage);;;2023;3404;21;time;16068;299
457863;64;TONY GALLOPIN;LIDL - TREK;04h 27' 48'';+ 00h 04' 59'';;;1;Individual (Stage);;;2023;3404;21;time;16068;299
457864;65;TORSTEIN TRÆEN;UNO-X PRO CYCLING TEAM;04h 27' 48'';+ 00h 04' 59'';;;1;Individual (Stage);;;2023;3404;21;time;16068;299
457865;66;KASPER ASGREEN;SOUDAL QUICK-STEP;04h 28' 25'';+ 00h 05' 36'';;;1;Individual (Stage);;;2023;3404;21;time;16105;336
457866;67;CHRISTOPHER HAMILTON;TEAM DSM - FIRMENICH;04h 28' 25'';+ 00h 05' 36'';;;1;Individual (Stage);;;2023;3404;21;time;16105;336
457867;68;NICHOLAS SCHULTZ;ISRAEL - PREMIER TECH;04h 28' 25'';+ 00h 05' 36'';;;1;Individual (Stage);;;2023;3404;21;time;16105;336
457868;69;DRIES DEVENYNS;SOUDAL QUICK-STEP;04h 28' 25'';+ 00h 05' 36'';;;1;Individual (Stage);;;2023;3404;21;time;16105;336
457869;7;JAI HINDLEY;BORA - HANSGROHE;04h 23' 01'';+ 00h 00' 12'';;;1;Individual (Stage);;;2023;3404;21;time;15781;12
